account_id,is_gmail_fromaccounts,collection_21_days,billed_users_count,log_max_tsize,os_android_avg,os_chrome_os_avg,os_ios_avg,os_linux_avg,os_mac_avg,total_events_sum,notification_events_sum,new_entry_events_sum,payment_events_sum,inbox_events_sum,communicating_events_sum,non_communicating_events_sum,web_events_sum,ios_events_sum,desktop_app_events_sum,empty_events_sum,lead_score
2793496,1.0,0.0,0.0,0.5745584102207318,0.0,0.0,0.0,0.0,0.0,0.00036026644386358937,0.0,0.0005878894767783657,0.0,0.0009718172983479105,0.0,5.521048999309869e-05,0.0002829363650393539,0.0,0.0,0.001711351968054763,0.0
2793497,1.0,0.0,0.0,0.5745584102207318,0.45454545454545453,0.0,0.5454545454545454,0.0,0.0,0.005695275910439296,0.04081632653061224,0.015873015873015872,0.0,0.0,0.003875968992248062,0.0007453416149068323,0.0,0.17313251179065875,0.0,0.001711351968054763,0.0
2793498,1.0,0.0,0.0,0.4265440441321598,0.0,0.0,0.0,0.0,0.0,0.000505906070106317,0.0,0.0005878894767783657,0.0,0.0009718172983479105,0.0005537098560354374,0.00013802622498274673,0.00044583912066807277,0.0,0.0,0.0022818026240730175,0.0
2793499,1.0,0.0,0.0,0.5745584102207318,1.0,0.0,0.0,0.0,0.0,0.0006975371572678007,0.0,0.0011757789535567313,0.0,0.0,0.0,5.521048999309869e-05,0.0,0.0,0.0,0.001711351968054763,0.0
2793500,1.0,0.0,0.0,0.4265440441321598,0.0,1.0,0.0,0.0,0.0,0.0011651170099418208,0.0,0.0005878894767783657,0.0,0.003887269193391642,0.0,0.0006349206349206349,0.001191762264862733,0.0,0.0,0.0022818026240730175,0.0
2793501,0.0,0.0,0.0,0.5745584102207318,0.0,0.0,0.0,0.0,1.0,0.00046757985267402023,0.0,0.0005878894767783657,0.0,0.0009718172983479105,0.0005537098560354374,5.521048999309869e-05,0.00048013443764253995,0.0,0.0,0.001711351968054763,0.0
2793502,1.0,0.0,0.0,0.4265440441321598,0.0,0.0,0.0,0.0,0.0,0.0023762254808023975,0.0,0.0005878894767783657,0.0,0.0009718172983479105,0.0005537098560354374,0.002070393374741201,0.002503558139136101,0.0,0.0,0.004563605248146035,0.0
2793503,1.0,0.0,0.0,0.5745584102207318,1.0,0.0,0.0,0.0,0.0,0.0004139231482688048,0.0,0.0005878894767783657,0.0,0.0,0.0005537098560354374,2.7605244996549345e-05,0.0,0.0,0.0,0.0005704506560182544,0.0
2793504,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.002161598663181536,0.0,0.001763668430335097,0.0,0.0029154518950437317,0.0005537098560354374,0.00016563146997929605,0.0013289435327606017,0.013996652974288757,0.0,0.005704506560182544,0.0
2793505,1.0,0.0,0.0,0.7231600557929171,1.0,0.0,0.0,0.0,0.0,0.00014563962624272763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005704506560182544,0.0
2793506,1.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.00035260120037713,0.0,0.0005878894767783657,0.0,0.0009718172983479105,0.0,5.521048999309869e-05,0.0002829363650393539,0.0,0.0,0.001711351968054763,0.0
2793507,0.0,0.0,0.0,0.5745584102207318,0.0,0.0,0.0,0.0,0.0,0.0006208847224032072,0.0,0.0005878894767783657,0.0,0.0029154518950437317,0.0005537098560354374,0.00013802622498274673,0.0005830203885659413,0.0,0.0,0.0022818026240730175,0.0
